CMDLINE /data/users2/jwardell1/miniconda3/envs/ica-torch/bin/python /data/users2/jwardell1/ica-torch-gica/standalone_gica_script/gica_script.py /data/users2/jwardell1/ica-torch-gica/standalone_gica_script/input_data/sub_level_pca_files.txt /data/users2/jwardell1/nshor_docker/examples/fbirn-project/FBIRN/group_mean_masks/groupmeanmaski_3mm.nii /data/users2/jwardell1/ica-torch-gica/standalone_gica_script/output_data
MEM 0.597656 1696353563.7601
MEM 13.863281 1696353563.8604
MEM 22.160156 1696353563.9608
MEM 26.597656 1696353564.0612
MEM 29.992188 1696353564.1617
MEM 33.890625 1696353564.2621
MEM 36.863281 1696353564.3625
MEM 41.394531 1696353564.4630
MEM 44.957031 1696353564.5635
MEM 47.597656 1696353564.6638
MEM 58.492188 1696353564.7640
MEM 68.246094 1696353564.8643
MEM 73.957031 1696353564.9644
MEM 76.625000 1696353565.0647
MEM 79.804688 1696353565.1651
MEM 152.593750 1696353565.2656
MEM 179.582031 1696353565.3660
MEM 202.351562 1696353565.4665
MEM 266.625000 1696353565.5670
MEM 273.875000 1696353565.6675
MEM 277.593750 1696353565.7679
MEM 280.687500 1696353565.8683
MEM 282.160156 1696353565.9688
MEM 283.000000 1696353566.0692
MEM 286.664062 1696353566.1696
MEM 288.468750 1696353566.2701
MEM 289.757812 1696353566.3705
MEM 290.531250 1696353566.4709
MEM 293.367188 1696353566.5713
MEM 296.949219 1696353566.6717
MEM 301.449219 1696353566.7722
MEM 305.421875 1696353566.8726
MEM 308.773438 1696353566.9730
MEM 314.742188 1696353567.0735
MEM 316.808594 1696353567.1739
MEM 320.437500 1696353567.2744
MEM 321.902344 1696353567.3748
MEM 326.570312 1696353567.4752
MEM 328.976562 1696353567.5757
MEM 336.359375 1696353567.6761
MEM 339.578125 1696353567.7765
MEM 342.972656 1696353567.8770
MEM 345.863281 1696353567.9772
MEM 349.277344 1696353568.0776
MEM 353.714844 1696353568.1780
MEM 359.152344 1696353568.2785
MEM 360.699219 1696353568.3790
MEM 364.562500 1696353568.4794
MEM 368.652344 1696353568.5799
MEM 373.750000 1696353568.6803
MEM 374.261719 1696353568.7809
MEM 374.273438 1696353568.8815
MEM 0.000000 1696353568.9820
